,City,State,Shape,Sight_Date,Sight_Time,Sight_Weekday,Sight_Day,Sight_Month
228,Lubbock,TX,Other,1998-09-15,20:00,Terça-feira,15,9
229,Hawkinsville,GA,Disk,1998-09-15,19:00,Terça-feira,15,9
231,Manchester,KY,Cigar,1998-09-12,02:00,Sábado,12,9
232,Edinboro (near),PA,Triangle,1998-09-10,22:30,Quinta-feira,10,9
233,San Angelo,TX,Fireball,1998-09-10,20:00,Quinta-feira,10,9
234,Schaumburg,IL,Oval,1998-09-02,21:00,Quarta-feira,2,9
235,Ft. Myers Beach (off coast of),FL,Triangle,1998-09-01,22:00,Terça-feira,1,9
236,Snow Shoe (in general area of),PA,Cigar,1998-09-01,22:00,Terça-feira,1,9
239,Nashville,TN,Other,1998-10-29,19:00,Quinta-feira,29,10
240,Detroit,MI,Circle,1998-10-28,10:30,Quarta-feira,28,10
241,Rupert,ID,Sphere,1998-10-22,03:30,Quinta-feira,22,10
243,Antwerp,OH,Triangle,1998-10-19,22:30,Segunda-feira,19,10
244,Bridgewater,SD,Other,1998-10-17,11:30,Sábado,17,10
245,Sacramento,CA,Triangle,1998-10-16,11:40,Sexta-feira,16,10
246,Adamsville,AL,Circle,1998-10-15,22:30,Quinta-feira,15,10
247,Enterprise,AL,Triangle,1998-10-15,21:00,Quinta-feira,15,10
248,NYC/Westchester area,NY,Triangle,1998-10-10,20:30,Sábado,10,10
249,Key West,FL,Changing,1998-10-03,01:00,Sábado,3,10
250,Franklin,IN,Triangle,1998-10-01,22:00,Quinta-feira,1,10
251,Clarinda,IA,Triangle,1998-10-01,21:00,Quinta-feira,1,10
252,San Francisco,CA,Sphere,1998-10-01,10:00,Quinta-feira,1,10
253,Chester,SC,Sphere,1998-10-01,07:00,Quinta-feira,1,10
254,Point Pleasant,WV,Sphere,1998-11-24,16:00,Terça-feira,24,11
255,Coon Rapids,MN,Oval,1998-11-23,18:05,Segunda-feira,23,11
257,Dillsburg,PA,Light,1998-11-20,20:00,Sexta-feira,20,11
258,Las Vegas,NM,Light,1998-11-19,02:30,Quinta-feira,19,11
259,Dunns Mills,NJ,Disk,1998-11-18,21:15,Quarta-feira,18,11
260,Kodiak,AK,Light,1998-11-18,18:00,Quarta-feira,18,11
261,Darien,WI,Other,1998-11-16,18:00,Segunda-feira,16,11
262,Richland Center,WI,Other,1998-11-15,00:00,Domingo,15,11
263,Albuquerque,NM,Oval,1998-11-04,15:30,Quarta-feira,4,11
264,Skippers,VA,Triangle,1998-11-01,20:30,Domingo,1,11
266,Cape May Court House,NJ,Sphere,1998-12-30,02:00,Quarta-feira,30,12
267,Vance,SC,Circle,1998-12-25,23:30,Sexta-feira,25,12
268,Carmel,CA,Circle,1998-12-25,22:00,Sexta-feira,25,12
269,Mansfield,OH,Sphere,1998-12-21,06:30,Segunda-feira,21,12
270,West Palm Beach,FL,Triangle,1998-12-20,20:30,Domingo,20,12
271,Kansas (on interstate),KS,Unknown,1998-12-20,02:30,Domingo,20,12
272,Kansas (location unspecified),KS,Light,1998-12-19,03:30,Sábado,19,12
