,City,Shape,Quantidade
5289,Martinez,Fireball,15.0
5291,Hollister (southeast of),Sphere,1.0
5296,Los Angeles,Light,249.0
5304,Yorba Linda,Disk,12.0
5312,Tiburon,Disk,3.0
5318,Bloomington,Light,4.0
5333,Indio,Cigar,24.0
5336,Mission Viejo,Light,24.0
5340,North Hollywood,Circle,21.0
5348,Arcata,Light,13.0
5355,Lake Barryessa,Sphere,1.0
5357,Whittier,Circle,28.0
5358,Imperial Desert,Oval,1.0
5359,Paramount,Light,8.0
5361,Brawley,Circle,6.0
5365,Red Bluff,Light,8.0
5366,Foresthill,Circle,3.0
5372,Santa Rsoa,Light,1.0
5373,Holtville,Circle,1.0
5376,Venice,Formation,19.0
5378,San Rafael,Unknown,24.0
5387,Petaluma,Diamond,22.0
5391,Bakersfield,Sphere,63.0
5392,Huntington Beach,Circle,63.0
5400,Aliso Viejo,Circle,11.0
5406,San Diego,Light,269.0
5423,Porterville,Light,20.0
5431,Woodland,Light,12.0
5439,Los Angeles,Light,249.0
5440,Manteca,Disk,15.0
5441,Manteca,Oval,15.0
5446,Ventura,Light,47.0
5451,calistoga,Changing,1.0
5453,Pleasanton,Circle,15.0
5454,Susanville,Light,8.0
5476,Ridgecrest,Fireball,24.0
5482,Garden Grove,Light,29.0
5483,Joshua Tree,Light,9.0
5487,San Rafael,Changing,24.0
5492,Joshua Tree Nat'l Park,,1.0
5509,Burbank,Formation,48.0
5535,Novato,Light,11.0
5552,Concord/Walnut Creek,Unknown,1.0
5558,Richmond,Circle,12.0
5573,Newport,Disk,1.0
5575,Visalia,Light,35.0
5588,San Diego,Light,269.0
5591,Studio City,Disk,9.0
5600,San Diego,Light,269.0
5601,San Diego,Light,269.0
5610,Ukiah,Cigar,14.0
5616,Marina Del Rey/Mar Vista,Circle,1.0
5627,California (southern),,1.0
5628,Twenty Nine Palms/Joshua Tree Monument,Unknown,1.0
5629,Twenty Nine Palms,Other,6.0
5630,Nine Palms,,1.0
5637,Camp Pendleton,Other,3.0
5643,Newport Beach,Disk,27.0
5651,Camp Pendleton,Other,3.0
5653,San Diego,Triangle,269.0
5658,Fresno,Circle,96.0
5660,Ukiah,Circle,14.0
5666,San Francisco,Disk,122.0
5682,Sonoma,Light,23.0
5684,Walnut Creek,Disk,9.0
5687,Big Pines,Diamond,1.0
5691,Fairfield,Other,31.0
5694,San Francisco Bay Area,Light,2.0
